price,target,sentiment
11873.4,1,-0.1
11761.0,0,0.5791666666666666
11792.5,1,0.5166666666666667
11591.0,1,0.7999999999999999
11892.0,1,-0.376984126984127
11675.7,0,0.13636363636363635
11764.0,1,0.5681818181818181
11580.0,0,-0.24166666666666664
11759.0,1,1.2671428571428571
11735.8,1,0.21818181818181817
11226.5,1,0.23989898989898986
11053.8,0,0.17956349206349206
11804.7,1,-0.10681818181818184
11350.0,1,0.08602693602693601
11123.0,1,0.26250000000000007
11117.0,1,0.1481818181818182
10932.0,0,0.3
11044.0,1,-0.2916666666666667
9948.1,1,1.0787878787878786
9714.9,1,-0.30000000000000004
9615.0,1,-0.06363636363636366
9557.7,1,-0.015151515151515166
9402.0,1,0.88125
9179.2,0,0.5
9231.2,1,1.6333333333333333
9189.1,1,-0.125
9167.3,1,1.85
9149.9,0,0.915151515151515
9210.1,0,0.1
9263.4,1,0.11124999999999993
9252.0,0,0.25
9315.8,1,-0.225
9246.3,0,0.13636363636363635
9305.7,1,0.09999999999999998
9248.9,0,0.6163636363636364
9447.0,1,0.6696428571428571
9267.5,0,0.15303030303030302
9361.0,1,0.41818181818181815
9089.7,0,0.13636363636363635
9147.7,1,0.19999999999999998
9073.9,0,-0.4767676767676768
9239.9,1,0.11666666666666667
9150.6,0,0.7363636363636363
9194.4,1,0.43333333333333335
9127.8,1,0.46818181818181814
9015.3,0,0.26666666666666666
9173.1,0,-0.05000000000000002
9257.0,0,0.4
9312.1,0,0.275
9635.1,0,0.3681818181818181
9697.7,1,0.2303030303030303
9298.1,0,-0.1
9371.3,1,0.018181818181818188
9315.5,0,0.38484848484848483
9400.0,0,-0.10333333333333333
9473.3,0,0.8333333333333334
9534.4,1,1.1
9433.9,1,0.2681818181818182
9345.4,0,1.1
9480.8,1,-0.4
9468.3,1,0.0888888888888889
9272.2,0,0.7
9898.8,1,0.04191919191919191
9770.8,0,-0.675
9783.2,1,0.0625
9746.3,1,0.0
9668.4,1,0.23214285714285715
9620.5,0,0.3666666666666667
9790.7,1,-0.31527777777777777
9672.0,1,-0.25
9530.0,0,-0.4
10221.0,1,0.7916666666666667
9452.1,0,0.35
9706.4,1,-0.25
9426.2,0,0.25
9589.3,1,-0.16111111111111115
9210.3,1,-0.058333333333333334
8845.5,0,0.04545454545454545
8902.0,1,0.48750000000000004
8711.5,0,-1.3877787807814457e-17
9174.6,1,0.24999999999999997
9162.4,1,-2.7755575615628914e-17
9059.5,0,0.15
9502.0,0,-0.2
9770.1,1,-0.7250000000000001
9714.8,1,-0.6
9668.2,1,0.0
9388.0,1,0.13636363636363635
9313.3,0,0.33636363636363636
9791.0,1,0.06818181818181818
9312.0,1,0.3875
8811.4,1,0.2946969696969697
8555.0,0,-0.4
8726.0,0,-0.1
9537.9,0,0.43636363636363634
9792.8,0,0.6545454545454545
9979.6,1,0.4904761904761905
9157.9,1,0.7121212121212122
9020.1,1,0.9642857142857143
8865.8,0,1.3
8899.8,0,0.0
8982.3,1,0.8875
8822.9,1,0.275
8635.3,0,-0.25
8773.3,1,0.13333333333333333
7777.7,1,0.9015151515151514
7697.1,1,0.6799999999999999
7538.5,1,0.9166666666666667
7506.8,1,0.0
7495.2,1,0.18636363636363637
7133.0,1,0.16
6850.0,1,-0.2636363636363636
6841.9,0,0.525
7133.3,0,0.6
7269.1,1,0.10714285714285714
7045.8,0,0.4496969696969697
7114.9,1,0.0
6633.8,0,-0.3851851851851852
6872.4,1,-0.1
6848.7,0,-0.4666666666666667
6913.0,1,0.0625
6884.5,1,0.4
6875.5,0,0.11818181818181818
7293.5,0,1.7227272727272727
7367.0,1,0.65
7203.0,0,0.0
7346.0,1,-0.07916666666666666
6778.0,0,-0.1
6881.6,1,-0.06666666666666665
6740.8,0,0.2
6818.3,1,0.6625
6675.0,1,0.2
6427.7,1,0.6
6407.6,1,0.41818181818181815
5892.6,0,0.43636363636363634
6249.3,0,0.0625
6370.0,0,-0.41111111111111115
6688.2,0,0.20833333333333331
6688.2,0,0.43333333333333335
6688.2,0,1.2333333333333334
6762.0,1,0.9
6762.0,1,0.9
6762.0,1,0.7166666666666667
6568.9,0,-0.08333333333333333
6546.8,0,-0.08333333333333333
6546.8,0,-0.08333333333333333
6544.5,0,-0.08333333333333333
6548.1,0,-0.08333333333333333
6576.2,0,-0.08333333333333333
6491.2,1,-0.1375
5827.0,0,0.044444444444444425
6205.8,1,-0.025
5416.2,1,0.5681818181818181
5058.5,0,0.8
5218.2,0,0.8333333333333334
4927.0,0,0.19545454545454546
7969.6,1,0.9363636363636364
7967.3,0,-0.2
8074.0,0,-0.1875
8919.0,0,0.901388888888889
9090.8,1,0.0
8788.6,0,0.1111111111111111
8791.1,0,0.5109523809523809
8938.1,1,-0.5
8565.2,1,0.55
8557.3,0,0.48636363636363633
8728.0,0,1.1785714285714284
8825.8,1,0.875
8813.2,0,1.6181818181818182
9327.5,0,-0.09999999999999998
9674.1,0,0.2222222222222222
9985.0,1,0.2
9662.4,0,1.0994318181818181
9693.5,1,0.3
9608.1,1,0.8181818181818181
9592.2,0,0.15
10183.0,1,0.30000000000000004
9708.0,0,1.2666666666666666
9929.7,1,0.0
9901.0,0,-0.07777777777777779
10335.0,1,-0.5918181818181818
10222.0,0,0.5424242424242424
10339.0,1,0.5
10247.0,1,0.8757575757575757
9850.2,0,0.2444444444444444
10151.0,1,0.11249999999999999
9877.2,1,-0.42121212121212126
9805.2,1,0.42386363636363633
9744.9,1,0.3694444444444444
9612.0,1,0.1098484848484848
9197.4,0,1.225
9309.3,0,0.8696969696969696
9353.1,0,-0.15
9410.6,1,0.5928571428571429
9367.4,0,0.9583333333333334
9512.7,1,1.1181818181818182
9304.2,0,-0.03696969696969696
9393.7,1,0.4787878787878788
8912.0,1,0.1
8621.6,1,0.5
8353.7,0,0.8
8447.1,1,1.0594155844155844
8403.5,0,-0.2545454545454546
8663.9,0,0.24999999999999997
8734.1,1,1.035
8638.2,0,-0.4636363636363636
8694.0,0,0.66
8891.5,1,0.3212121212121212
8875.4,1,0.4181818181818182
8720.6,0,0.16000000000000003
8807.7,1,0.1487878787878788
8775.6,1,1.5363636363636362
8094.5,0,0.9045454545454545
8174.7,1,0.8863636363636364
8013.8,0,0.2792207792207792
8176.3,1,-0.039999999999999925
7817.5,0,0.27222222222222225
8036.8,0,-0.7
8150.0,1,0.8666666666666667
7757.9,1,0.5
7364.6,0,-0.11363636363636365
7369.8,0,0.4681818181818182
7367.5,1,-0.35000000000000003
6989.4,0,0.39999999999999997
7212.7,1,0.0
